Episode: 207, Total reward:-20.0, Explore P: 0.7906301718463046, loss: 4.4897594
Episode: 208, Total reward:-20.0, Explore P: 0.7888501397220102, loss: 2.077027
Episode: 209, Total reward:-21.0, Explore P: 0.7870659421815984, loss: 0.6266278
Episode: 210, Total reward:-21.0, Explore P: 0.785278903180942, loss: 86.20164
Episode: 211, Total reward:-20.0, Explore P: 0.7834880095742428, loss: 2.056852
Episode: 212, Total reward:-20.0, Explore P: 0.7816923411132369, loss: 0.33695635
Episode: 213, Total reward:-21.0, Explore P: 0.779892911937958, loss: 16.002789
Episode: 214, Total reward:-20.0, Explore P: 0.7780907600245179, loss: 19.64416
Episode: 215, Total reward:-21.0, Explore P: 0.7762841401011406, loss: 201.30908
Episode: 216, Total reward:-21.0, Explore P: 0.7744754740587121, loss: 5.886258
Episode: 217, Total reward:-19.0, Explore P: 0.7726645888555931, loss: 6.4789114
Episode: 218, Total reward:-20.0, Explore P: 0.7708497573454346, loss: 1.5312297
Episode: 219, Total reward:-20.0, Explore P: 0.769030462401699, loss: 0.8371357
Episode: 220, Total reward:-18.0, Explore P: 0.7672065934896444, loss: 0.6268007
Episode: 221, Total reward:-21.0, Explore P: 0.7653778889523324, loss: 167.7792
Episode: 222, Total reward:-20.0, Explore P: 0.7635464595993054, loss: 47.690327
Episode: 223, Total reward:-21.0, Explore P: 0.7617117401882254, loss: 65.23875
Episode: 224, Total reward:-19.0, Explore P: 0.7598748285516498, loss: 1.7775701
Episode: 225, Total reward:-20.0, Explore P: 0.758033744420571, loss: 1.3837825
Episode: 226, Total reward:-20.0, Explore P: 0.7561899292428736, loss: 5.4686613
Episode: 227, Total reward:-20.0, Explore P: 0.754343788168998, loss: 68.507324
Episode: 228, Total reward:-21.0, Explore P: 0.7524947957639233, loss: 30.770514
Episode: 229, Total reward:-19.0, Explore P: 0.7506441377359792, loss: 9.94969
Episode: 230, Total reward:-20.0, Explore P: 0.7487898531867379, loss: 0.28185016
Episode: 231, Total reward:-21.0, Explore P: 0.7469329152868529, loss: 0.5961938
Episode: 232, Total reward:-18.0, Explore P: 0.7450728933295406, loss: 36.734955
Episode: 233, Total reward:-19.0, Explore P: 0.7432072588485449, loss: 21.68262
Episode: 234, Total reward:-18.0, Explore P: 0.7413378937213015, loss: 85.52267
Episode: 235, Total reward:-21.0, Explore P: 0.7394653479081787, loss: 3.05206
Episode: 236, Total reward:-20.0, Explore P: 0.7375911220226888, loss: 24.94906
Episode: 237, Total reward:-21.0, Explore P: 0.7357147925182099, loss: 25.675516
Episode: 238, Total reward:-19.0, Explore P: 0.7338369808164075, loss: 10.7438
Episode: 239, Total reward:-21.0, Explore P: 0.7319554576898583, loss: 39.67997
